TRN#_(INTERNAL);PER_FLU_RECIBO;PER_FLU_PAGO;FINALIDAD;DELIVERY/SETTLEMENT SWAPS;HEDGE LINK;SOSTENIBILIDAD;GAMMA;VEGA;DELTA
47939477;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939478;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939479;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939480;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47939481;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47939482;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47939483;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47939484;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47939485;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47939486;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47939487;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47939488;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47939489;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939490;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939491;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939492;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939493;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939494;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939495;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939496;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939497;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939498;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939499;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939500;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939501;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939502;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939503;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939504;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939505;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939506;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939507;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939508;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939509;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939510;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939511;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939512;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939513;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939514;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939515;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939516;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47939517;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47939518;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939519;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939520;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939521;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939522;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939523;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939524;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939525;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939526;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939527;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939528;1m;6m;NE;D;;;0.0000;0.0000;0.0000
47939529;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939530;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939531;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939532;1m;0od;NE;D;;;0.0000;0.0000;0.0000
47939533;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939534;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939535;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939536;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939537;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939538;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939539;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939540;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939541;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939542;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939543;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939544;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939545;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939546;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939547;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939548;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939549;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939550;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939551;6m;6m;NE;D;;;0.0000;0.0000;0.0000
47939552;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939553;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939554;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939555;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939556;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939557;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939558;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939559;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939560;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939561;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939562;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939563;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939564;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939565;3m;3m;NE;D;;;0.0000;0.0000;0.0000
47939566;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939567;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939568;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939569;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939570;1m;6m;DC;D;;;0.0000;0.0000;0.0000
47939571;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939572;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939573;3m;3m;DC;D;;;0.0000;0.0000;0.0000
47939574;50y;50y;DC;D;;;0.0000;0.0000;0.0000
47939575;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939576;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939577;50y;50y;NE;D;;;0.0000;0.0000;0.0000
47939578;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939579;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939580;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939581;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939582;50y;50y;NE;C;;;0.0000;0.0000;0.0000
47939583;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939584;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939585;1m;1m;NE;D;;;0.0000;0.0000;0.0000
47939586;1m;0od;DC;D;;;0.0000;0.0000;0.0000
47939587;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939588;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939589;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939590;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939591;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939592;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939593;3m;3m;NE;C;;;0.0000;0.0000;0.0000
47939594;6m;6m;DC;D;;;0.0000;0.0000;0.0000
47939595;1m;1m;DC;D;;;0.0000;0.0000;0.0000
47939596;6m;6m;DC;D;;;0.0000;0.0000;0.0000
